Name,State,Type,Residential customers,Revenue,Power generated,Power bought,Power in,Summer demand,Winter demand
City of Preston,IA,Municipal,497,1145.3,0.0,7893.0,7893.0,2.0,1.4
Polk-Burnett Electric Coop,WI,Cooperative,18900,31874.0,0.0,239401.0,239401.0,46.0,50.6
Prentiss County Elec Pwr Assn,MS,Cooperative,10854,32663.2,0.0,354511.0,354511.0,80.8,64.5
Village of Prairie Du Sac - (WI),WI,Municipal,1861,5422.2,0.0,49382.0,49382.0,10.3,9.2
Prince George Electric Coop,VA,Cooperative,10301,33752.0,0.0,339153.0,339153.0,66.0,88.0
"Radiant Electric Coop, Inc",KS,Cooperative,2979,9454.0,0.0,72543.0,72543.0,14.0,13.0
Salem Electric - (OR),OR,Cooperative,17322,29401.9,0.0,341567.0,341567.0,68.8,77.8
City of Salem - (VA),VA,Municipal,10978,38772.5,0.0,371341.0,371341.0,78.4,65.1
City of South Sioux City,NE,Municipal,4775,21692.3,0.0,223808.0,223808.0,39.0,40.0
City of South Norwalk - (CT),CT,Municipal,5420,14025.8,0.0,91183.0,91183.0,18.5,14.8
South Louisiana Elec Coop Assn,LA,Cooperative,17903,48973.0,0.0,575731.0,575731.0,121.7,114.0
City of South Haven - (MI),MI,Municipal,7086,16075.8,0.0,144045.0,144045.0,30.6,20.4
Town of South Hadley - (MA),MA,Municipal,7072,13058.1,0.0,113542.0,113542.0,25.6,21.2
South Central Electric Assn,MN,Cooperative,4788,23609.0,0.0,233825.0,233825.0,38.0,34.9
Southeast Colorado Power Assn,CO,Cooperative,7725,27328.3,0.0,201914.0,201914.0,51.1,25.4
South Central Public Pwr Dist,NE,Political Subdivision,3766,18503.3,0.0,189965.0,189965.0,77.5,29.1
"South Alabama Elec Coop, Inc",AL,Cooperative,15709,38482.0,0.0,330276.0,330276.0,72.1,82.7
Village of Solvay - (NY),NY,Municipal,4655,24737.2,0.0,551375.0,551375.0,74.3,79.8
"Socorro Electric Coop, Inc",NM,Cooperative,10218,24669.0,0.0,188511.0,188511.0,33.2,29.0
Town of Smyrna - (DE),DE,Municipal,4948,13615.2,0.0,113308.0,113308.0,26.0,18.4
City of Smithville - (TN),TN,Municipal,2081,10827.7,0.0,134263.0,134263.0,26.3,20.5
Town of Smithfield - (NC),NC,Municipal,3390,17789.3,0.0,174249.0,174249.0,35.2,30.5
"South Central Ark El Coop, Inc",AR,Cooperative,8896,23915.0,0.0,254509.0,254509.0,52.7,56.2
Southeastern Electric Coop Inc - (OK),OK,Cooperative,14019,28646.8,0.0,338859.0,338859.0,75.9,91.1
Southern Illinois Elec Coop,IL,Cooperative,10823,26022.0,0.0,189116.0,189116.0,45.0,49.6
"Southern Iowa Elec Coop, Inc",IA,Cooperative,4557,13251.7,0.0,121009.0,121009.0,27.7,22.6
City of Starke - (FL),FL,Municipal,2047,8279.0,0.0,70696.0,70696.0,15.3,14.4
City of Staples- (MN),MN,Municipal,1038,2884.0,0.0,27450.0,27450.0,5.0,4.0
Stanton County Public Pwr Dist,NE,Political Subdivision,1793,12769.1,0.0,148948.0,148948.0,27.2,23.1
City of St Paul - (NE),NE,Municipal,954,2583.0,0.0,26656.0,26656.0,6.0,5.7
City of Shasta Lake - (CA),CA,Municipal,4166,19705.7,0.0,204762.0,204762.0,35.1,30.2
St Croix Electric Coop,WI,Cooperative,9980,22219.0,0.0,195913.0,195913.0,39.9,38.2
City of St Charles - (IL),IL,Municipal,13335,59547.8,0.0,527457.0,527457.0,113.3,78.7
City of Springfield - (TN),TN,Municipal,6914,27580.0,0.0,318903.0,318903.0,62.7,57.1
City of Sparta,TN,Municipal,2175,11332.4,0.0,124446.0,124446.0,24.6,18.1
Spanish Fork City Corporation,UT,Municipal,10770,22240.0,0.0,267233.0,267233.0,65.0,40.0
Southwestern Electric Coop Inc - (NM),NM,Cooperative,1465,35439.9,0.0,448427.0,448427.0,62.9,49.3
"Southwest Texas Elec Coop, Inc",TX,Cooperative,5507,25025.0,0.0,297948.0,297948.0,44.0,43.0
Southwest Public Power Dist,NE,Political Subdivision,2223,21027.0,0.0,221835.0,221835.0,81.5,24.1
Southwest Rural Elec Assn Inc,OK,Cooperative,5893,16305.3,0.0,152810.0,152810.0,46.1,36.7
"Southern Pine Elec Coop, Inc",AL,Cooperative,19548,48958.0,0.0,482053.0,482053.0,85.4,116.1
Slinger Utilities,WI,Municipal,1998,4344.6,0.0,38788.0,38788.0,8.3,7.6
Slash Pine Elec Member Corp,GA,Cooperative,8151,20536.0,0.0,183672.0,183672.0,38.2,43.7
PUD No 1 of Skamania Co,WA,Political Subdivision,5447,12701.1,0.0,143459.0,143459.0,19.8,37.2
City of Sioux Falls - (SD),SD,Municipal,1781,7978.0,0.0,91281.0,91281.0,17.0,14.0
City of Scottsboro,AL,Municipal,6740,31552.7,0.0,325320.0,325320.0,64.1,57.5
SEMO Electric Cooperative,MO,Cooperative,10570,34046.0,0.0,338155.0,338155.0,82.4,67.1
City of Schuyler - (NE),NE,Municipal,2137,11481.0,0.0,146018.0,146018.0,27.0,25.0
"Sheridan Electric Coop, Inc",MT,Cooperative,2245,17562.8,0.0,135911.0,135911.0,16.6,25.3
Three Rivers Electric Coop,MO,Cooperative,20809,38709.0,0.0,394567.0,394567.0,92.0,93.8
Scenic Rivers Energy Coop,WI,Cooperative,13220,28993.0,0.0,226210.0,226210.0,45.5,43.2
City of Sauk Centre - (MN),MN,Municipal,1853,5417.8,0.0,61245.0,61245.0,11.5,11.3
City of Sanborn - (IA),IA,Municipal,576,2124.7,0.0,23741.0,23741.0,4.3,4.6
San Patricio Electric Coop Inc,TX,Cooperative,8906,26333.0,0.0,282510.0,282510.0,59.4,64.2
"San Miguel Power Assn, Inc",CO,Cooperative,10965,27928.5,0.0,200359.0,200359.0,25.9,41.2
"San Isabel Electric Assn, Inc",CO,Cooperative,21357,57027.4,0.0,486018.0,486018.0,84.7,76.3
Access Energy Coop,IA,Cooperative,8658,37392.1,0.0,455104.0,455104.0,73.9,59.2
"San Luis Valley R E C, Inc",CO,Cooperative,8490,33589.0,0.0,223312.0,223312.0,71.7,23.5
Salmon River Electric Coop Inc,ID,Cooperative,2195,6919.4,0.0,107130.0,107130.0,16.2,22.5
City of Sallisaw - (OK),OK,Municipal,3507,9989.0,0.0,116178.0,116178.0,25.9,23.7
City of Scottsburg - (IN),IN,Municipal,2801,13529.0,0.0,154614.0,154614.0,27.6,23.8
City of Salamanca - (NY),NY,Municipal,3067,5614.0,0.0,114705.0,114705.0,15.7,23.1
SE-MA-NO Electric Coop,MO,Cooperative,5713,9395.0,0.0,106927.0,106927.0,25.5,24.9
City of Seguin - (TX),TX,Municipal,7136,29862.0,0.0,332713.0,332713.0,81.2,61.4
City of Sioux Center,IA,Municipal,2272,10011.0,0.0,125770.0,125770.0,28.0,26.0
Slope Electric Coop Inc,ND,Cooperative,3136,35220.2,0.0,442402.0,442402.0,51.9,60.4
City of Siloam Springs - (AR),AR,Municipal,6637,22154.0,0.0,268940.0,268940.0,58.2,38.1
City of Shelbyville - (TN),TN,Municipal,8608,34188.6,0.0,382777.0,382777.0,73.9,66.9
"Shelby Energy Co-op, Inc",KY,Cooperative,15620,43993.7,0.0,500696.0,500696.0,96.4,116.2
"Shelby Electric Coop, Inc",IL,Cooperative,9668,33964.6,0.0,257842.0,257842.0,48.7,40.4
RushShelby Energy,IN,Cooperative,14376,43170.0,0.0,395812.0,395812.0,77.4,73.8
City of Shelby - (NC),NC,Municipal,6245,19866.0,0.0,197922.0,197922.0,41.6,34.9
City of Sheboygan Falls - (WI),WI,Municipal,4077,16170.0,0.0,189406.0,189406.0,33.2,29.8
Shawano Municipal Utilities,WI,Municipal,4227,21961.0,0.0,273627.0,273627.0,47.2,43.3
Shakopee Public Utilities Comm,MN,Municipal,15397,46887.0,0.0,452309.0,452309.0,98.3,67.1
City of Seward - (NE),NE,Municipal,2836,9436.0,0.0,96799.0,96799.0,20.7,17.5
City of Sergeant Bluff - (IA),IA,Municipal,1567,4814.9,0.0,33331.0,33331.0,9.5,5.4
City of Seneca - (KS),KS,Municipal,995,2550.0,0.0,33601.0,33601.0,8.9,6.5
Sedgwick County El Coop Assn Inc,KS,Cooperative,5672,16783.1,0.0,139201.0,139201.0,36.3,24.6
City of Seaford- (DE),DE,Municipal,3102,14099.3,0.0,113564.0,113564.0,23.5,20.2
Planters Electric Member Corp,GA,Cooperative,15372,35098.0,0.0,280288.0,280288.0,74.4,76.4
Pascoag Utility District,RI,Municipal,4151,8230.6,0.0,53888.0,53888.0,11.9,10.1
"Paulding-Putman Elec Coop, Inc",OH,Cooperative,12382,38178.7,0.0,367583.0,367583.0,64.2,64.7
City of Moundridge - (KS),KS,Municipal,880,2970.7,0.0,30225.0,30225.0,7.5,4.9
City of Moultrie - (GA),GA,Municipal,5689,26219.2,0.0,190968.0,190968.0,40.6,41.0
Consolidated Electric Coop Inc,OH,Cooperative,15034,45476.0,0.0,370635.0,370635.0,68.9,69.9
City of Morganton - (NC),NC,Municipal,6560,31441.9,0.0,342878.0,342878.0,66.4,56.3
Morgan City - (LA),LA,Municipal,4635,14824.0,0.0,182211.0,182211.0,40.7,29.1
Moreau-Grand Electric Coop Inc,SD,Cooperative,5984,12096.0,0.0,107087.0,107087.0,16.0,22.4
Mt Carmel Public Utility Co,IL,Investor Owned,4438,13039.8,0.0,103272.0,103272.0,24.4,17.4
Mora-San Miguel Elec Coop,NM,Cooperative,10720,11496.0,0.0,77301.0,77301.0,6.0,8.8
Mor-Gran-Sou Electric Coop Inc,ND,Cooperative,7371,20587.1,0.0,164359.0,164359.0,32.6,35.2
Morgan County Rural Elec Assn,CO,Cooperative,4945,37998.0,0.0,346902.0,346902.0,71.3,42.7
"Monroe County Elec Coop, Inc",IL,Cooperative,7168,16439.0,0.0,120607.0,120607.0,32.0,26.0
City of Monroe - (GA),GA,Municipal,5404,17878.0,0.0,155304.0,155304.0,33.2,31.0
City of Monmouth - (OR),OR,Municipal,4216,6619.8,0.0,75473.0,75473.0,13.7,17.6
City of Monett - (MO),MO,Municipal,3883,19729.9,0.0,235131.0,235131.0,38.2,46.1
Censtar Energy Corporation,TX,Retail Power Marketer,13699,57807.0,0.0,580536.0,580536.0,0.0,0.0
Village of Mt. Horeb - (WI),WI,Municipal,3289,6091.8,0.0,54522.0,54522.0,12.3,11.0
City of Mt Pleasant - (TN),TN,Municipal,3295,13116.4,0.0,127181.0,127181.0,25.7,23.2
City of Mount Vernon - (MO),MO,Municipal,1854,7232.0,0.0,70248.0,70248.0,15.0,11.0
City of New Albany - (MS),MS,Municipal,7851,30439.3,0.0,336268.0,336268.0,75.8,53.3
"Nemaha-Marshall E C A, Inc",KS,Cooperative,3316,6425.8,0.0,50989.0,50989.0,12.5,9.7
City of Neodesha - (KS),KS,Municipal,1236,2821.0,0.0,40209.0,40209.0,11.0,8.0
City of Negaunee,MI,Municipal,1958,3502.0,0.0,22937.0,22937.0,3.8,4.4
Norris Electric Coop,IL,Cooperative,17692,46771.2,0.0,373484.0,373484.0,99.8,84.0
City of Natchitoches,LA,Municipal,7550,18267.9,0.0,283474.0,283474.0,60.0,56.0
Natchez Trace Elec Power Assn,MS,Cooperative,12400,35755.2,0.0,332929.0,332929.0,73.8,68.0
City of Napoleon - (OH),OH,Municipal,5127,16506.7,0.0,156562.0,156562.0,31.4,24.2
Nantucket Electric Co,MA,Investor Owned,11761,23933.0,0.0,33775.0,33775.0,46.6,28.8
Northern Plains Electric Coop,ND,Cooperative,10087,42373.0,0.0,466142.0,466142.0,72.0,91.0
Village of Muscoda - (WI),WI,Municipal,869,5545.8,0.0,60881.0,60881.0,11.2,10.0
City of Muscle Shoals,AL,Municipal,6376,29015.9,0.0,313619.0,313619.0,67.2,54.4
City of Murray - (KY),KY,Municipal,6241,28165.5,0.0,294825.0,294825.0,62.4,42.4
"Mt Wheeler Power, Inc",NV,Cooperative,5267,33943.7,0.0,553247.0,553247.0,79.7,76.2
"Mountain Parks Electric, Inc",CO,Cooperative,17111,36314.5,0.0,291008.0,291008.0,33.8,59.0
Modern Electric Water Company,WA,Cooperative,8386,16877.0,0.0,240130.0,240130.0,41.6,44.6
Missouri Rural Electric Coop,MO,Cooperative,4775,17926.0,0.0,226126.0,226126.0,38.0,38.0
"Missoula Electric Coop, Inc",MT,Cooperative,13136,21453.4,0.0,247957.0,247957.0,39.5,55.0
City of Mishawaka,IN,Municipal,22495,62877.0,0.0,604889.0,604889.0,127.7,90.4
City of Menasha - (WI),WI,Municipal,8164,43276.3,0.0,543436.0,543436.0,79.2,73.1
City of Medford - (WI),WI,Municipal,2658,10045.0,0.0,126601.0,126601.0,24.0,21.0
Meeker Coop Light & Power Assn,MN,Cooperative,8155,20917.2,0.0,185918.0,185918.0,32.4,45.7
McMinnville Electric System,TN,Municipal,6381,21333.8,0.0,198769.0,198769.0,42.5,40.0
"McLean Electric Coop, Inc",ND,Cooperative,3484,14698.0,0.0,135470.0,135470.0,20.5,23.9
McCone Electric Coop Inc,MT,Cooperative,4638,9627.8,0.0,81130.0,81130.0,12.1,18.3
McLeod Cooperative Power Assn,MN,Cooperative,6281,20000.6,0.0,168168.0,168168.0,31.9,30.8
City of Mayfield Plant Board,KY,Municipal,4477,15576.7,0.0,143514.0,143514.0,35.8,22.3
Town of Massena - (NY),NY,Municipal,8209,12075.9,0.0,200360.0,200360.0,28.0,46.5
Consumers Energy,IA,Cooperative,5986,17115.0,0.0,139791.0,139791.0,26.2,24.9
Marshall County Rural E M C,IN,Cooperative,6132,14774.0,0.0,103307.0,103307.0,23.7,18.6
Marshall-De Kalb Electric Coop,AL,Cooperative,14748,46384.3,0.0,428537.0,428537.0,91.8,106.5
Marias River Electric Coop Inc,MT,Cooperative,2501,6648.0,0.0,88976.0,88976.0,13.1,16.8
"Harney Electric Coop, Inc",OR,Cooperative,1500,12937.3,0.0,216800.0,216800.0,65.7,16.4
Town of Mansfield - (MA),MA,Municipal,8839,26344.9,0.0,207446.0,207446.0,47.4,35.7
City of Mesa - (AZ),AZ,Municipal,14163,34207.7,0.0,350453.0,350453.0,87.0,56.0
City of New Bern - (NC),NC,Municipal,19103,51579.0,0.0,456876.0,456876.0,104.5,120.0
Menard Electric Coop,IL,Cooperative,9092,28616.2,0.0,223751.0,223751.0,66.1,35.4
City of Miami - (OK),OK,Municipal,5594,14974.0,0.0,188909.0,188909.0,39.8,27.1
Village of Minster - (OH),OH,Municipal,1257,12379.0,0.0,128112.0,128112.0,23.3,20.3
Maquoketa Valley Rrl Elec Coop,IA,Cooperative,10298,31987.9,0.0,296236.0,296236.0,58.0,58.8
City of Minden - (NE),NE,Municipal,1330,3576.0,0.0,29674.0,29674.0,7.8,5.5
City of Minden - (LA),LA,Municipal,5228,17126.0,0.0,142240.0,142240.0,35.0,20.4
City of Milton-Freewater- (OR),OR,Municipal,3543,8241.0,0.0,112147.0,112147.0,17.8,33.9
City of Miller - (SD),SD,Municipal,750,2259.0,0.0,23013.0,23013.0,5.0,6.4
City of Milford - (DE),DE,Municipal,5916,24967.9,0.0,219353.0,219353.0,31.7,41.4
City of Milan,TN,Municipal,6757,19151.7,0.0,193720.0,193720.0,44.8,41.7
"Midwest Electric, Inc",OH,Cooperative,10449,29265.5,0.0,263909.0,263909.0,50.5,47.2
Town of Middletown - (DE),DE,Municipal,7470,25012.0,0.0,236496.0,236496.0,54.0,47.0
Town of Middleton,MA,Municipal,3162,13631.4,0.0,99607.0,99607.0,24.1,15.6
Middle Georgia El Member Corp,GA,Cooperative,5169,18333.0,0.0,147706.0,147706.0,47.1,31.1
"Mid-Yellowstone Elec Coop, Inc",MT,Cooperative,1058,4195.6,0.0,34050.0,34050.0,8.2,5.1
Midland Power Coop,IA,Cooperative,11102,50598.0,0.0,502631.0,502631.0,99.4,93.0
"Midstate Electric Coop, Inc",,Cooperative,16939,34511.0,0.0,440007.0,440007.0,67.0,114.0
Miami-Cass County Rural E M C,IN,Cooperative,5659,15201.0,0.0,132113.0,132113.0,28.3,26.1
New Castle Municipal Serv Comm,DE,Municipal,2400,9346.0,0.0,79539.0,79539.0,19.1,14.9
City of Newbern,TN,Municipal,1469,8840.0,0.0,110642.0,110642.0,22.0,17.9
Village of New Glarus - (WI),WI,Municipal,1160,2604.1,0.0,23495.0,23495.0,5.1,3.7
Orange County Rural E M C,IN,Cooperative,7783,14866.6,0.0,114152.0,114152.0,26.6,30.8
City of Orange City - (IA),IA,Municipal,1948,7798.0,0.0,87763.0,87763.0,19.6,14.2
City of Opelika - (AL),AL,Municipal,10534,45335.0,0.0,423549.0,423549.0,90.0,76.0
City of Onawa - (IA),IA,Municipal,1574,3045.7,0.0,32309.0,32309.0,7.4,6.7
City of Olivia - (MN),MN,Municipal,1050,2501.2,0.0,29339.0,29339.0,6.0,5.7
City of Okolona,MS,Municipal,4170,10597.4,0.0,97235.0,97235.0,21.0,24.5
"Okanogan County Elec Coop, Inc",WA,Cooperative,3101,5792.0,0.0,66230.0,66230.0,8.5,22.2
"Ohop Mutual Light Company, Inc",WA,Cooperative,4216,7556.0,0.0,91514.0,91514.0,11.8,28.2
Oconto Falls Water & Light Comm,WI,Municipal,1347,3314.4,0.0,27396.0,27396.0,5.7,4.6
Oconomowoc Utilities,WI,Municipal,8435,23922.1,0.0,225260.0,225260.0,48.5,35.8
Oconee Electric Member Corp,GA,Cooperative,10406,28798.8,0.0,275303.0,275303.0,62.8,65.7
Oakdale Electric Coop,WI,Cooperative,15208,36508.0,0.0,333691.0,333691.0,60.9,52.8
Ocmulgee Electric Member Corp,GA,Cooperative,10893,22026.0,0.0,193616.0,193616.0,52.9,50.7
City of Oak Ridge,TN,Municipal,13950,55608.3,0.0,518349.0,518349.0,104.0,87.2
Oahe Electric Coop Inc,SD,Cooperative,2324,9783.4,0.0,101607.0,101607.0,20.1,21.1
Orcas Power & Light Coop,WA,Cooperative,13143,27985.0,0.0,229155.0,229155.0,39.6,64.2
City of Norwood - (MA),MA,Municipal,13601,48035.0,0.0,329407.0,329407.0,75.0,51.8
City of Ord - (NE),NE,Municipal,1129,3630.0,0.0,36431.0,36431.0,7.0,10.0
"P K M Electric Coop, Inc",MN,Cooperative,3550,13195.0,0.0,113303.0,113303.0,12.2,15.5
City of Starkville,MS,Municipal,11715,40583.0,0.0,432391.0,432391.0,89.8,66.2
Parkland Light & Water Company,WA,Cooperative,3795,8616.0,0.0,121085.0,121085.0,14.6,28.4
Park Electric Coop Inc,MT,Cooperative,5525,14694.5,0.0,169963.0,169963.0,24.7,31.1
Parke County Rural E M C,IN,Cooperative,12208,23594.8,0.0,189244.0,189244.0,35.1,42.4
People's Cooperative Services,MN,Cooperative,21138,46152.0,0.0,364233.0,364233.0,74.7,66.3
City of Paris - (TN),TN,Municipal,15453,45461.5,0.0,471355.0,471355.0,107.3,104.3
Panhandle Rural El Member Assn,NE,Cooperative,1688,13133.4,0.0,94557.0,94557.0,39.5,10.8
"Panola-Harrison Elec Coop, Inc",TX,Cooperative,17299,32713.5,0.0,342417.0,342417.0,82.0,105.0
PUD No 2 of Pacific County,WA,Political Subdivision,15320,26345.5,0.0,325526.0,325526.0,29.7,83.2
City of Oxford - (MS),MS,Municipal,7439,23636.2,0.0,231716.0,231716.0,53.3,40.5
City of Owatonna - (MN),MN,Municipal,10685,35946.0,0.0,380576.0,380576.0,72.5,54.9
Overton Power District No 5,NV,Political Subdivision,12752,37939.0,0.0,395395.0,395395.0,98.1,72.1
Ouachita Electric Coop Corp,AR,Cooperative,8551,22787.0,0.0,218096.0,218096.0,55.0,52.0
City of Osceola - (AR),AR,Municipal,2822,15300.0,0.0,155810.0,155810.0,29.0,23.0
Osage Valley Elec Coop Assn,MO,Cooperative,14930,31995.5,0.0,272891.0,272891.0,66.1,75.7
"Tri-County Electric Coop, Inc",SC,Cooperative,17225,43773.0,0.0,308159.0,308159.0,73.8,87.4
Pea River Electric Coop,AL,Cooperative,14471,37625.9,0.0,310253.0,310253.0,70.4,86.4
"Northfork Electric Coop, Inc",OK,Cooperative,5301,21092.2,0.0,218818.0,218818.0,41.6,43.0
Northwestern Electric Coop Inc - (OK),OK,Cooperative,9576,32778.0,0.0,339744.0,339744.0,67.9,67.9
Noble County R E M C,IN,Cooperative,10598,24514.8,0.0,221219.0,221219.0,42.0,38.5
City of Norcross- (GA),GA,Municipal,4267,12813.0,0.0,118602.0,118602.0,23.2,14.7
Niobrara Valley El Member Corp,NE,Cooperative,4854,14783.5,0.0,140957.0,140957.0,48.4,18.7
City of Niles - (MI),MI,Municipal,5992,13635.0,0.0,125314.0,125314.0,26.0,19.5
City of Nicholasville - (KY),KY,Municipal,6178,15817.8,0.0,198436.0,198436.0,37.1,38.0
Ninnescah Rural E C A Inc,KS,Cooperative,2767,12219.0,0.0,96034.0,96034.0,38.0,19.0
City of Newton - (NC),NC,Municipal,3994,14279.1,0.0,145983.0,145983.0,29.9,25.5
"Newnan Wtr, Sewer & Light Comm",GA,Municipal,8245,34213.0,0.0,322693.0,322693.0,66.3,94.6
"Newberry Electric Coop, Inc",SC,Cooperative,12185,35120.0,0.0,312995.0,312995.0,67.0,68.0
City of Newberry - (SC),SC,Municipal,4070,26274.6,0.0,218226.0,218226.0,44.3,33.7
"New-Mac Electric Coop, Inc",MO,Cooperative,17417,40887.0,0.0,391757.0,391757.0,82.8,89.4
New River Light & Power Co,NC,State,6379,17532.5,0.0,209536.0,209536.0,39.8,44.5
City of New Richmond,WI,Municipal,3930,9942.9,0.0,96056.0,96056.0,20.0,15.5
New London Electric&Water Util,WI,Municipal,3329,15789.7,0.0,176143.0,176143.0,30.4,25.0
City of New Holstein - (WI),WI,Municipal,2187,5025.1,0.0,44083.0,44083.0,8.5,8.2
North Alabama Electric Coop,AL,Cooperative,13001,39034.1,0.0,383450.0,383450.0,79.1,89.9
Norwalk Third Taxing District,CT,Municipal,2968,10266.0,0.0,62683.0,62683.0,14.0,12.0
Nishnabotna Valley R E C,IA,Cooperative,3506,17382.3,0.0,181413.0,181413.0,26.9,33.2
North Central MO Elec Coop Inc,MO,Cooperative,4397,16320.0,0.0,189911.0,189911.0,39.8,33.6
Northwest Rural Pub Pwr Dist,NE,Political Subdivision,2087,10460.0,0.0,83204.0,83204.0,28.6,10.8
Village of Northfield - (VT),VT,Municipal,1604,3725.0,0.0,28543.0,28543.0,4.9,4.8
Northeast Louisiana Power Coop Inc.,LA,Cooperative,11455,23690.0,0.0,248192.0,248192.0,57.5,72.5
"Northern Neck Elec Coop, Inc",VA,Cooperative,16545,33734.0,0.0,276526.0,276526.0,66.1,85.7
North Plains Electric Coop Inc,TX,Cooperative,3020,35312.0,0.0,346038.0,346038.0,102.4,41.7
"Northern Electric Coop, Inc",SD,Cooperative,5336,28280.6,0.0,312287.0,312287.0,44.2,61.2
Northeast Power,NE,Political Subdivision,6738,26118.0,0.0,304972.0,304972.0,48.0,52.0
"North Star Electric Coop, Inc",MN,Cooperative,5881,14713.1,0.0,112629.0,112629.0,14.9,30.8
City of North St Paul - (MN),MN,Municipal,5759,9651.8,0.0,73077.0,73077.0,19.0,12.0
City of North Platte,NE,Municipal,11354,27994.0,0.0,312880.0,312880.0,66.0,55.0
"North Western Elec Coop, Inc",OH,Cooperative,5333,14462.0,0.0,124933.0,124933.0,24.4,24.2
North Itasca Electric Coop Inc,MN,Cooperative,5082,8431.0,0.0,55741.0,55741.0,8.2,9.7
North Central Public Pwr Dist,NE,Political Subdivision,3450,14905.1,0.0,133010.0,133010.0,62.8,18.7
"North Central Elec Coop, Inc",ND,Cooperative,6062,23980.4,0.0,247088.0,247088.0,23.2,55.6
"North Central Elec Coop, Inc",OH,Cooperative,8434,24253.0,0.0,204136.0,204136.0,36.6,38.1
Town of North Attleborough - (MA),MA,Municipal,12052,30488.0,0.0,227786.0,227786.0,52.7,44.5
City of Statesville - (NC),NC,Municipal,10747,48279.9,0.0,463565.0,463565.0,96.2,76.8
Town of Sterling - (MA),MA,Municipal,3449,7337.5,0.0,59202.0,59202.0,11.0,10.0
Town of Steilacoom,WA,Municipal,2824,3068.6,0.0,41084.0,41084.0,5.7,10.1
"Palmco Power MD, LLC",NY,Retail Power Marketer,5006,4119.0,0.0,32184.0,32184.0,0.0,0.0
"Stream Energy New Jersey, LLC",NJ,Retail Power Marketer,16453,21352.0,0.0,217163.0,217163.0,65.6,36.1
PNE Energy Supply LLC,NH,Retail Power Marketer,1129,833.0,0.0,9369.0,9369.0,0.0,0.0
Veteran Energy LLC,FL,Retail Power Marketer,10277,14964.0,0.0,344135.0,344135.0,0.0,0.0
"Stream Energy Maryland, LLC",MD,Retail Power Marketer,8883,12845.0,0.0,132262.0,132262.0,36.8,33.1
American Light and Power,TX,Retail Power Marketer,5484,15560.4,0.0,202653.0,202653.0,44.0,29.0
"Everything Energy, LLC",TX,Retail Power Marketer,3216,2376.1,0.0,21566.0,21566.0,0.0,0.0
"Palmco Power CT, LLC",NY,Retail Power Marketer,826,493.7,0.0,4242.0,4242.0,0.0,0.0
"Palmco Power PA, LLC",NY,Retail Power Marketer,5991,4657.9,0.0,42004.0,42004.0,0.0,0.0
"Palmco Power NJ, LLC",NY,Retail Power Marketer,4347,3494.0,0.0,22390.0,22390.0,0.0,0.0
Our Energy LLC,TX,Retail Power Marketer,8597,31914.0,0.0,408004.0,408004.0,0.0,0.0
"UGI Energy Services, Inc.",PA,Retail Power Marketer,481,44942.6,0.0,676757.0,676757.0,0.0,0.0
OnPAC Energy,TX,Retail Power Marketer,1003,4363.1,0.0,74276.0,74276.0,11.0,9.0
"Young Energy, LLC",TX,Retail Power Marketer,20104,31551.2,0.0,224092.0,224092.0,53.0,75.0
Smart Prepaid Electric,TX,Retail Power Marketer,1464,1984.7,0.0,17270.0,17270.0,0.0,0.0
"Wolverine Alternative Investments, LLC",IL,Retail Power Marketer,4683,5462.1,0.0,68479.0,68479.0,17.4,10.7
"Palmco Power OH, LLC",NY,Retail Power Marketer,9543,4350.2,0.0,51855.0,51855.0,0.0,0.0
"XOOM Energy Connecticut, LLC",NC,Retail Power Marketer,5720,7326.3,0.0,77784.0,77784.0,0.0,0.0
"EnergyMark, LLC",NY,Retail Power Marketer,1997,14078.4,0.0,291976.0,291976.0,63.5,64.2
"C. N. Brown Electricity, LLC",ME,Retail Power Marketer,1039,3273.2,0.0,38619.0,38619.0,0.0,0.0
"Stream Energy New York, LLC",NY,Retail Power Marketer,7378,3936.9,0.0,61510.0,61510.0,13.3,14.4
FairPoint Energy LLC,CT,Retail Power Marketer,17646,11788.8,0.0,126738.0,126738.0,0.0,0.0
Cincinnati Bell Energy LLC,CT,Retail Power Marketer,13938,11862.3,0.0,162427.0,162427.0,0.0,0.0
Town of Pickstown - (SD),SD,Municipal,134,239.4,0.0,2807.0,2807.0,0.0,0.0
Pittsburg Power Company,CA,Municipal,348,4724.0,0.0,25083.0,25083.0,9.4,5.2
City of Winter Park - (FL),FL,Municipal,12358,41429.0,0.0,431312.0,431312.0,82.7,75.9
Aha Macav Power Service,AZ,Political Subdivision,716,3609.0,0.0,44170.0,44170.0,10.2,5.8
Public Power LLC (PA),CT,Retail Power Marketer,17496,18814.5,0.0,196310.0,196310.0,0.0,0.0
"Public Power & Utility of Maryland, LLC",CT,Retail Power Marketer,4858,9505.3,0.0,93392.0,93392.0,0.0,0.0
"XOOM Energy New Jersey, LLC",NC,Retail Power Marketer,6932,18776.4,0.0,157021.0,157021.0,0.0,0.0
"XOOM Energy Maryland, LLC",NC,Retail Power Marketer,18218,27828.5,0.0,299230.0,299230.0,0.0,0.0
"XOOM Energy Massachusetts, LLC",NC,Retail Power Marketer,7809,10610.7,0.0,88721.0,88721.0,0.0,0.0
"XOOM Energy Illinois, LLC",NC,Retail Power Marketer,23531,25278.4,0.0,292197.0,292197.0,0.0,0.0
