Name,State,Type,Residential customers,Revenue,Power generated,Power bought,Power in,Summer demand,Winter demand
Washington Electric Coop - (VT),VT,Cooperative,10418,16931.0,2852.0,71520.0,74372.0,13.7,16.5
Redwood Falls Public Util Comm,MN,Municipal,2321,6463.5,2868.0,65405.0,68273.0,14.0,13.2
New Ulm Public Utilities Comm,MN,Municipal,6168,23704.0,2901.0,207114.0,210015.0,45.9,29.1
Block Island Power Co,RI,Investor Owned,1336,4784.2,2970.0,10734.0,13704.0,4.2,1.7
City of Ashland - (OR),OR,Municipal,10386,15377.5,3071.0,180005.0,183076.0,42.0,38.0
City of Kingman - (KS),KS,Municipal,1585,4860.0,3182.0,40008.0,43190.0,11.5,6.8
City of Kennett - (MO),MO,Municipal,4726,10733.5,3199.0,136622.0,139821.0,32.7,29.0
City of Lake Crystal - (MN),MN,Municipal,1031,2708.0,3241.0,17433.0,20674.0,4.2,3.0
Electrical Dist No2 Pinal County,AZ,Political Subdivision,3980,24892.0,3424.0,290540.0,293964.0,68.4,41.2
City of Geneva- (IL),IL,Municipal,9285,41197.5,3498.0,387567.0,391065.0,81.7,66.3
Southwestern Electric Coop Inc - (IL),IL,Cooperative,22432,56987.1,3518.0,446133.0,449651.0,115.1,82.8
City of Thief River Falls,MN,Municipal,4172,14436.1,3544.0,134795.0,138339.0,27.0,25.0
Illinois Rural Electric Coop,IL,Cooperative,10059,29592.0,3602.0,184435.0,188037.0,46.9,37.2
City of Graettinger - (IA),IA,Municipal,422,1191.6,3750.0,8428.0,12178.0,2.2,2.2
Town of Ipswich - (MA),MA,Municipal,6068,15328.0,4131.0,117124.0,121255.0,31.7,20.8
City of Rensselaer - (IN),IN,Municipal,2585,11486.0,4556.0,104295.0,108851.0,21.7,16.0
Adams Electric Coop,IL,Cooperative,8603,22311.0,4677.0,170432.0,175109.0,37.0,37.0
City of Osage - (IA),IA,Municipal,1843,5213.1,4726.0,49101.0,53827.0,11.4,9.0
City of Lake Worth - (FL),FL,Municipal,23357,41619.0,4916.0,470409.0,475325.0,96.0,83.2
Village of Lyndonville - (VT),VT,Municipal,4819,9723.0,5200.0,56639.0,61839.0,9.7,13.2
Easton Utilities Comm,MD,Municipal,8287,24079.1,6307.0,260081.0,266388.0,60.0,56.3
City of Black River Falls,WI,Municipal,2215,6859.1,6352.0,53827.0,60179.0,11.3,10.2
Federated Rural Electric Assn,MN,Cooperative,5638,39442.6,6749.0,445234.0,451983.0,60.6,71.5
Nobles Cooperative Electric,MN,Cooperative,5863,20977.0,6894.0,199661.0,206555.0,30.2,30.6
City of Martinsville - (VA),VA,Municipal,6540,17661.0,6999.0,163113.0,170112.0,35.9,39.0
Oconto Electric Cooperative,WI,Cooperative,9340,15357.7,7028.0,110234.0,117262.0,19.4,18.9
City of Chicopee - (MA),MA,Municipal,22974,55303.7,7044.0,458327.0,465371.0,93.2,80.2
Borough of Chambersburg,PA,Municipal,9435,27649.0,7248.0,295987.0,303235.0,59.3,58.4
City of Crystal Falls,MI,Municipal,1350,2369.0,7551.0,9493.0,17044.0,2.6,2.4
City of Milford - (IA),IA,Municipal,1214,4092.0,7675.0,26281.0,33956.0,6.1,6.8
Town of Hudson - (MA),MA,Municipal,11242,23239.4,8009.0,222673.0,230682.0,47.5,39.2
City of Norwich - (CT),CT,Municipal,17613,55659.9,8823.0,307550.0,316373.0,60.5,50.9
Greenwood Utilities Comm,MS,Municipal,7642,26804.0,9099.0,273088.0,282187.0,64.2,38.4
City of Sturgis,MI,Municipal,6082,26459.0,9180.0,219768.0,228948.0,46.3,40.7
Town of Bedford - (VA),VA,Municipal,5730,20505.5,9209.0,199954.0,209163.0,35.6,51.3
Village of Morrisville - (VT),VT,Municipal,3462,7085.0,9234.0,39310.0,48544.0,7.9,8.8
City of Ukiah - (CA),CA,Municipal,6449,14383.0,10396.0,105607.0,116003.0,33.4,17.1
Brigham City Corporation,UT,Municipal,6873,14419.0,10961.0,163156.0,174117.0,37.7,27.0
City of Springville - (UT),UT,Municipal,10436,25373.8,11336.0,270920.0,282256.0,60.9,41.3
City of Murray - (UT),UT,Municipal,14756,33946.0,11402.0,412604.0,424006.0,102.3,59.6
Harlan Municipal Utilities - (IA),IA,Municipal,2310,7417.0,11471.0,63607.0,75078.0,14.3,10.3
City of Colton - (CA),CA,Municipal,16661,66191.0,11649.0,420446.0,432095.0,80.8,67.2
City of Greenfield - (IA),IA,Municipal,1005,4169.6,12057.0,35004.0,47061.0,10.3,7.7
Petersburg Borough - (AK),AK,Municipal,1368,5644.8,12768.0,45491.0,58259.0,8.6,11.5
City of Bryan - (OH),OH,Municipal,5065,23586.1,13918.0,196853.0,210771.0,39.2,34.8
City of Peabody - (MA),MA,Municipal,21904,58486.9,14405.0,482805.0,497210.0,117.4,91.8
City of Green Cove Springs,FL,Municipal,3433,11882.0,14435.0,111279.0,125714.0,24.0,23.7
City of Greenville - (TX),TX,Municipal,14253,56510.4,14613.0,680048.0,694661.0,109.5,90.9
People's Electric Cooperative,OK,Cooperative,13791,62032.2,16235.0,700986.0,717221.0,123.6,120.3
Rochelle Municipal Utilities,IL,Municipal,5869,41835.0,18455.0,345734.0,364189.0,60.5,58.7
City of Aspen- (CO),CO,Municipal,2017,6970.0,18989.0,50039.0,69028.0,11.1,14.5
Brainerd Public Utilities,MN,Municipal,6686,19808.0,19401.0,165645.0,185046.0,37.1,28.5
Heber Light & Power Company,UT,Municipal,10396,15983.0,19942.0,162198.0,182140.0,39.7,32.1
City of Montezuma - (IA),IA,Municipal,758,2683.1,20322.0,24879.0,45201.0,5.9,4.3
Kotzebue Electric Assn Inc,AK,Cooperative,1135,7026.3,22096.0,0.0,22096.0,3.0,3.4
North Shore Towers Apts Inc,NY,Cooperative,1840,2010.0,22479.0,0.0,22479.0,4.1,3.1
Alaska Power and Telephone Co,WA,Investor Owned,5496,19771.0,23304.0,51004.0,74308.0,1.0,1.0
Plumas-Sierra Rural Elec Coop,CA,Cooperative,6962,25692.0,25115.0,135327.0,160442.0,27.6,26.4
City of Lamar - (MO),MO,Municipal,1991,8101.0,25783.0,58335.0,84118.0,20.2,12.2
"Northern Lights, Inc",ID,Cooperative,18854,33761.0,26994.0,311162.0,338156.0,39.3,83.0
"Garkane Energy Coop, Inc",UT,Cooperative,11053,24695.1,27463.0,232349.0,259812.0,44.9,55.7
City of Chanute,KS,Municipal,4599,20858.6,27680.0,302570.0,330250.0,56.6,43.8
City of Laurens - (IA),IA,Municipal,655,3818.0,28049.0,14940.0,42989.0,5.3,7.0
"Cordova Electric Coop, Inc",AK,Cooperative,958,7356.0,28236.0,0.0,28236.0,8.8,3.9
Hutchinson Utilities Comm,MN,Municipal,6240,26083.9,28605.0,281771.0,310376.0,59.9,41.3
Willmar Municipal Utilities,MN,Municipal,7928,30594.8,29489.0,254347.0,283836.0,59.2,44.0
Nome Joint Utility Systems,AK,Municipal,1735,9221.0,31685.0,0.0,31685.0,4.0,5.2
Village of Freeport - (NY),NY,Municipal,12928,34074.0,31785.0,261412.0,293197.0,58.1,47.9
Terrebonne Parish Consol Gov't,LA,Municipal,11227,32250.0,33361.0,315730.0,349091.0,81.7,66.5
City of Norway,MI,Municipal,1840,3917.0,33986.0,451.0,34437.0,4.9,4.5
North Slope Borough Power & Light,AK,Municipal,750,8287.8,35040.0,0.0,35040.0,1.5,1.2
City of Logan - (UT),UT,Municipal,17647,35214.8,36460.0,379541.0,416001.0,91.9,68.6
Eldridge City Utilities,IA,Municipal,2369,4206.0,38124.0,42947.0,81071.0,10.5,7.4
Greenbacker Renewable Energy Corporation,NY,Behind the Meter,4472,4178.0,38891.0,0.0,38891.0,0.0,0.0
Village of Swanton - (VT),VT,Municipal,3263,7115.2,39537.0,18914.0,58451.0,10.0,9.7
Fall River Rural Elec Coop Inc,ID,Cooperative,13701,30602.0,39598.0,305099.0,344697.0,72.0,65.1
City of Bountiful,UT,Municipal,15511,27583.0,39682.0,260995.0,300677.0,79.0,47.0
Crisp County Power Comm,GA,Political Subdivision,9147,40630.6,42689.0,396598.0,439287.0,85.3,84.4
Town of Braintree - (MA),MA,Municipal,13902,62446.0,44977.0,332551.0,377528.0,78.7,67.4
"Barrow Utils & Elec Coop, Inc",AK,Cooperative,1513,5955.4,51369.0,0.0,51369.0,6.1,8.2
City of Dover - (OH),OH,Municipal,5817,29209.0,51792.0,176486.0,228278.0,47.2,32.6
City of Unalaska - (AK),AK,Municipal,735,17937.1,58739.0,0.0,58739.0,12.4,10.9
City of Healdsburg - (CA),CA,Municipal,4823,12531.0,58791.0,21999.0,80790.0,22.4,11.3
Waverly Municipal Elec Utility,IA,Municipal,4494,19161.6,59748.0,132268.0,192016.0,30.3,23.8
"SunPower Capital Services, LLC",TX,Behind the Meter,5796,11238.4,65110.0,0.0,65110.0,0.0,0.0
City of Algona - (IA),IA,Municipal,3035,15439.0,66365.0,161162.0,227527.0,24.0,18.0
City of Spencer - (IA),IA,Municipal,5305,15097.0,67249.0,185647.0,252896.0,32.3,35.3
Lockhart Power Co,SC,Investor Owned,4925,31135.0,70767.0,324993.0,395760.0,68.4,63.6
Northern Wasco County PUD,OR,Political Subdivision,9377,37825.0,75552.0,593322.0,668874.0,94.1,106.7
City of Orrville - (OH),OH,Municipal,6465,32996.0,78183.0,312773.0,390956.0,58.8,50.2
Ketchikan Public Utilities,AK,Municipal,6477,18792.7,83006.0,98313.0,181319.0,24.8,32.3
City of Centralia - (WA),WA,Municipal,8580,26481.7,86025.0,192952.0,278977.0,37.7,67.9
"Copper Valley Elec Assn, Inc",AK,Cooperative,2985,21523.0,89563.0,0.0,89563.0,13.5,13.0
City & Borough of Sitka - (AK),AK,Municipal,3777,16237.8,113045.0,0.0,113045.0,18.0,20.5
SunEdison LLC,CA,Behind the Meter,2502,15260.2,113144.0,0.0,113144.0,0.0,0.0
Atlantic Municipal Utilities,IA,Municipal,3825,10544.0,117328.0,40414.0,157742.0,24.5,21.8
"Alaska Village Elec Coop, Inc",AK,Cooperative,8158,46487.0,124113.0,0.0,124113.0,19.4,23.6
City of Virginia - (MN),MN,Municipal,4137,28930.1,128119.0,121686.0,249805.0,20.7,21.3
Alaska Electric Light&Power Co,AK,Investor Owned,14579,47860.6,130872.0,302805.0,433677.0,71.0,79.0
City of Hannibal - (MO),MO,Municipal,7626,31557.2,137648.0,263037.0,400685.0,55.9,43.0
Jamestown Board of Public Util,NY,Municipal,16271,38677.6,153300.0,468974.0,622274.0,76.8,87.8
Kodiak Electric Assn Inc,AK,Cooperative,4756,24389.0,160866.0,0.0,160866.0,26.1,28.0
City of Burlington Electric - (VT),VT,Municipal,16957,59124.7,167763.0,171013.0,338776.0,60.8,49.0
Spruce Finance,CA,Behind the Meter,18398,28372.8,170066.0,0.0,170066.0,0.0,0.0
Manitowoc Public Utilities,WI,Municipal,15762,69271.2,170498.0,544760.0,715258.0,101.6,85.2
City of Gillette - (WY),WY,Municipal,13118,32276.0,185841.0,154444.0,340285.0,77.8,61.2
PUD No 1 of Klickitat County,WA,Political Subdivision,10567,41299.0,186080.0,418873.0,604953.0,73.7,91.6
City of Kaukauna,WI,Municipal,13353,55537.8,186959.0,486330.0,673289.0,115.8,94.9
City of Banning - (CA),CA,Municipal,10985,38342.8,199657.0,170295.0,369952.0,46.3,20.8
Mille Lacs Energy Cooperative,MN,Cooperative,13850,24622.0,206746.0,0.0,206746.0,36.8,47.8
City of Holyoke - (MA),MA,Municipal,14752,45375.0,239469.0,108870.0,348339.0,64.0,58.0
City of Marquette - (MI),MI,Municipal,14990,47755.6,259045.0,53878.0,312923.0,55.1,53.9
City of Grand Haven - (MI),MI,Municipal,12176,39140.7,273583.0,128238.0,401821.0,62.5,46.4
City of West Memphis - (AR),AR,Municipal,10362,30600.0,288415.0,92321.0,380736.0,82.4,62.2
Los Alamos County,NM,Municipal,7875,38345.2,335437.0,292870.0,628307.0,89.4,85.2
City of Logansport - (IN),IN,Municipal,10963,40559.0,433528.0,0.0,433528.0,80.0,60.7
City of Hastings - (NE),NE,Municipal,10995,39432.4,446085.0,87408.0,533493.0,90.3,66.6
City of Fremont - (NE),NE,Municipal,12474,38481.0,454789.0,80547.0,535336.0,94.9,69.9
Henderson City Utility Comm,KY,Municipal,10231,43730.0,457278.0,155525.0,612803.0,110.0,92.0
